id,nama_lokasi,alamat,fixed_latitude,fixed_longitude,jenis,new_latitude,new_longitude
99,Gunung Tapa,"Lampung, Lampung",-4.4407508,105.557912,1,-4.4407508,105.557912
100,Gunung Tapa Ilir,"Lampung, Lampung",-4.3973953,105.6075231,1,-4.3973953,105.6075231
101,Ujung Gunung Ilir,"Lampung, Lampung",-4.5592846,105.2038296,1,-4.5592846,105.2038296
102,Ujung Gunung,"Lampung, Lampung",-4.4843749,105.2628828,1,-4.4843749,105.2628828
103,hutan,"Lampung, Lampung",-5.3802022,105.2822404,1,-5.3802022,105.2822404
104,Sidang Gunung Tiga,"Lampung, Lampung",-4.2076774,105.545902,1,-4.2076774,105.545902
105,Gunung Katun Malai,"Lampung, Lampung",-4.5500305,104.9805276,1,-4.5500305,104.9805276
106,Gunung Katun Tanjungan,"Lampung, Lampung",-4.5445706,105.0187496,1,-4.5445706,105.0187496
107,Gunung Menanti,"Lampung, Lampung",-4.749216,105.1618999,1,-4.749216,105.1618999
108,Gunung Timbul,"Lampung, Lampung",-4.6949558,105.1109831,1,-4.6949558,105.1109831
109,Taman Nasional Bukit Barisan Selatan,"Lampung, Lampung",-5.0,105.0,1,-5.0,105.0
110,Taman Nasional Bukit Barisan Selatan.,"Lampung, Lampung",-5.0,105.0,1,-5.0,105.0
111,Pagar Bukit,"Lampung, Lampung",-5.5418427,104.2940766,1,-5.5418427,104.2940766
112,Pagar Bukit Induk,"Lampung, Lampung",-5.6006304,104.3405893,1,-5.6006304,104.3405893
113,Gunung Kemala,"Lampung, Lampung",-5.4460713,105.2643742,1,-5.4460713,105.2643742
114,Situs Batu Bedil,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
115,Rumah Daswati,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
116,Buay Pernong,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
117,Masjid Jami' Al-Anwar,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
118,Taman Purbakala Pugung Raharjo,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
119,"Museum Lampung (Museum Negeri Provinsi Lampung ""Ruwa Jurai"")","Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
120,Gedong Aer,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
121,Vihara Thay Hin Bio,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
122,Istana Sekala Brak,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
123,Goa Warak,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
124,Situs Batu Berak,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
125,Masjid Agung Al-Furqon,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
