id,nama_lokasi,alamat,latitude,longitude,jenis,image_filename
75,Istana Sekala Brak,"Lampung, Lampung",3.982656,112.984823,4,img_75_Istana-Sekala-Brak.jpg
76,Goa Warak,"Lampung, Lampung",4.982656,113.984823,1,img_76_Goa-Warak.jpeg
77,Situs Batu Berak,"Lampung, Lampung",5.982656,114.984823,4,img_77_Situs-Batu-Berak.jpg
78,Masjid Agung Al-Furqon,"Lampung, Lampung",6.982656,115.984823,5,img_78_Masjid-Agung-Al-Furqon.jpeg
79,Menara Siger,"Lampung, Lampung",7.982656,116.984823,4,img_79_Menara-Siger.jpeg
80,Nuwo Sesat Olok Gading,"Lampung, Lampung",8.982656,117.984823,4,img_80_Nuwo-Sesat-Olok-Gading.jpg
81,Benteng Marlborough,"Lampung, Lampung",9.982656,118.984823,4,img_81_Benteng-Marlborough.jpg
82,Situs Megalitik Batu Brak,"Lampung, Lampung",10.982656,119.984823,4,img_82_Situs-Megalitik-Batu-Brak.jpg
83,Makam Raden Intan II,"Lampung, Lampung",11.982656,120.984823,4,img_83_Makam-Raden-Intan-II.jpg
84,Masjid Kubah Intan,"Lampung, Lampung",12.982656,121.984823,5,img_84_Masjid-Kubah-Intan.jpg
85,Taman Budaya Lampung,"Lampung, Lampung",13.982656,122.984823,7,img_85_Taman-Budaya-Lampung.jpg
86,Museum Mahkota Dipuncak Nur,"Lampung, Lampung",14.982656,123.984823,4,img_86_Museum-Mahkota-Dipuncak-Nur.jpg
87,Rumah Adat Jajar Intan,"Lampung, Lampung",15.982656,124.984823,4,img_87_Rumah-Adat-Jajar-Intan.jpg
88,Rumah Daswati,"Lampung, Lampung",16.982656,125.984823,4,img_88_Rumah-Daswati.jpg
89,Situs Prasasti Palas Pasemah,"Lampung, Lampung",17.982656,126.984823,4,img_89_Situs-Prasasti-Palas-Pasemah.jpg
