nama,alamat,lat,long,image_filename
Warung Ala Hotel,"Warung Ala Hotel, Jalan Aziz Cindar Bumi, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.421184,105.257491,img_69_Warung-Ala-Hotel.jpeg
Lobster Cup,"Lobster Cup, Jalan Hos Cokroaminoto, Enggal, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.41886,105.261688,img_70_Lobster-Cup.jpg
Bubur Sumsum,"Bubur Sumsum, Jalan Ahmad Yani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.421784,105.254365,img_71_Bubur-Sumsum.jpg
Bakso Sultan,"Bakso Sultan, Jalan Robert Walter Monginsidi, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.423414,105.251799,img_72_Bakso-Sultan.jpeg
Telur GulungHits,"Telur GulungHits, Jalan Ratu Dipuncak, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.420625,105.247145,img_73_Telur-GulungHits.jpg
La Cuisine Bandar Lampung,"La Cuisine Bandar Lampung, Jalan Kemuning I, Tanjung Raya, Bandar Lampung, Lampung, Sumatra, 35213, Indonesia",-5.423327,105.266723,img_74_La-Cuisine-Bandar-Lampung.jpg
Hello Food,"Hello Food, Jalan Profesor Mr. Haji Muhammad Yamin, Pahoman, Bandar Lampung, Lampung, Sumatra, 35213, Indonesia",-5.42351,105.266076,img_75_Hello-Food.jpg
DeFlo Pudding,"DeFlo Pudding, Jalan Profesor Mr. Haji Muhammad Yamin, Rawa Laut, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.421781,105.266824,img_76_DeFlo-Pudding.jpeg
Bakso Soni,"Bakso Soni, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.412799,105.246974,img_77_Bakso-Soni.jpg
Anyep Tah,"Anyep Tah, Jalan Siswondo Parman, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419619,105.254103,img_78_Anyep-Tah.jpg
Wartalk.Id,"Wartalk.Id, Jalan Karel Satsuit Tubun, Enggal, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.419591,105.261278,img_79_Wartalk-Id.jpg
Pecel Lele Palapa,"Pecel Lele Palapa, Jalan Durian 2, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.421608,105.247622,img_80_Pecel-Lele-Palapa.jpg
Nasi Goreng Mamak,"Nasi Goreng Mamak, Jalan Beruang, Sukamenanti, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.394381,105.249109,img_81_Nasi-Goreng-Mamak.jpg
Sendok Mas,"Sendok Mas, Jalan Ahmad Yani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35214, Indonesia",-5.421745,105.256006,img_82_Sendok-Mas.jpg
Pizza Hut,"Pizza Hut, Jalan Raden Intan, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419239,105.258058,img_83_Pizza-Hut.jpg
D'KUALI,"D'KUALI, Jalan Karel Satsuit Tubun, Rawa Laut, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.420173,105.2634,img_84_D-KUALI.jpg
Kobar Lampung,"Kobar Lampung, Jalan Ahmad Yani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35214, Indonesia",-5.42152,105.255333,img_85_Kobar-Lampung.jpg
