id,nama+AF8-lokasi,alamat,latitude,longitude
92,Curup Patah,+ACI-Lampung, Lampung+ACI-,+AC0-4.6868004,104.6394965
93,Gunung Baru,+ACI-Lampung, Lampung+ACI-,+AC0-4.7848843,104.5962902
94,Pulau Batu,+ACI-Lampung, Lampung+ACI-,+AC0-4.5322724,104.6175821
95,Gunung Cahya,+ACI-Lampung, Lampung+ACI-,+AC0-4.3464363,104.7823894
96,Gunung Waras,+ACI-Lampung, Lampung+ACI-,+AC0-4.3618105,104.7971837
97,Bukit Gemuruh,+ACI-Lampung, Lampung+ACI-,+AC0-4.4821422,104.3596792
98,Bukit Harapan,+ACI-Lampung, Lampung+ACI-,+AC0-4.4854228,104.334185
99,Gunung Tapa,+ACI-Lampung, Lampung+ACI-,+AC0-4.3969513,105.5538682
100,Gunung Tapa Ilir,+ACI-Lampung, Lampung+ACI-,+AC0-4.3973953,105.6075231
101,Ujung Gunung Ilir,+ACI-Lampung, Lampung+ACI-,+AC0-4.5592846,105.2038296
102,Ujung Gunung,+ACI-Lampung, Lampung+ACI-,+AC0-4.4843749,105.2628828
103,hutan,+ACI-Lampung, Lampung+ACI-,+AC0-5.38020225,105.282240433966
104,Sidang Gunung Tiga,+ACI-Lampung, Lampung+ACI-,+AC0-4.2076774,105.545902
105,Gunung Katun Malai,+ACI-Lampung, Lampung+ACI-,+AC0-4.5500305,104.9805276
106,Gunung Katun Tanjungan,+ACI-Lampung, Lampung+ACI-,+AC0-4.5445706,105.0187496
107,Gunung Menanti,+ACI-Lampung, Lampung+ACI-,+AC0-4.749216,105.1618999
108,Gunung Timbul,+ACI-Lampung, Lampung+ACI-,+AC0-4.6949558,105.1109831
109,Taman Nasional Bukit Barisan Selatan,+ACI-Lampung, Lampung+ACI-,+AC0-5.2472574,104.149891043564
110,Taman Nasional Bukit Barisan Selatan.,+ACI-Lampung, Lampung+ACI-,+AC0-5.2472574,104.149891043564
111,Pagar Bukit,+ACI-Lampung, Lampung+ACI-,+AC0-5.5418427,104.2940766
112,Pagar Bukit Induk,+ACI-Lampung, Lampung+ACI-,+AC0-5.6006304,104.3405893
113,Gunung Kemala,+ACI-Lampung, Lampung+ACI-,+AC0-5.0173444,103.984823
114,Situs Batu Bedil,+ACI-Lampung, Lampung+ACI-,+AC0-4.0173444,104.984823
115,Rumah Daswati,+ACI-Lampung, Lampung+ACI-,+AC0-3.0173444,105.984823
116,Buay Pernong,+ACI-Lampung, Lampung+ACI-,+AC0-2.0173444,106.984823
117,Masjid Jami' Al+AC0-Anwar,+ACI-Lampung, Lampung+ACI-,+AC0-1.0173444,107.984823
118,Taman Purbakala Pugung Raharjo,+ACI-Lampung, Lampung+ACI-,+AC0-0.0173443999999998,108.984823
119,+ACI-Museum Lampung (Museum Negeri Provinsi Lampung +ACIAIg-Ruwa Jurai+ACIAIg-)+ACI-,+ACI-Lampung, Lampung+ACI-,0.9826556,109.984823
120,Gedong Aer,+ACI-Lampung, Lampung+ACI-,1.9826556,110.984823
121,Vihara Thay Hin Bio,+ACI-Lampung, Lampung+ACI-,2.9826556,111.984823
122,Istana Sekala Brak,+ACI-Lampung, Lampung+ACI-,3.9826556,112.984823
123,Goa Warak,+ACI-Lampung, Lampung+ACI-,4.9826556,113.984823
124,Situs Batu Berak,+ACI-Lampung, Lampung+ACI-,5.9826556,114.984823
125,Masjid Agung Al+AC0-Furqon,+ACI-Lampung, Lampung+ACI-,6.9826556,115.984823
126,Menara Siger,+ACI-Lampung, Lampung+ACI-,7.9826556,116.984823
127,Nuwo Sesat Olok Gading,+ACI-Lampung, Lampung+ACI-,8.9826556,117.984823
128,Benteng Marlborough,+ACI-Lampung, Lampung+ACI-,9.9826556,118.984823
129,Situs Megalitik Batu Brak,+ACI-Lampung, Lampung+ACI-,10.9826556,119.984823
130,Makam Raden Intan II,+ACI-Lampung, Lampung+ACI-,11.9826556,120.984823
131,Masjid Kubah Intan,+ACI-Lampung, Lampung+ACI-,12.9826556,121.984823
132,Taman Budaya Lampung,+ACI-Lampung, Lampung+ACI-,13.9826556,122.984823
133,Museum Mahkota Dipuncak Nur,+ACI-Lampung, Lampung+ACI-,14.9826556,123.984823
134,Rumah Adat Jajar Intan,+ACI-Lampung, Lampung+ACI-,15.9826556,124.984823
135,Rumah Daswati,+ACI-Lampung, Lampung+ACI-,16.9826556,125.984823
136,Situs Prasasti Palas Pasemah,+ACI-Lampung, Lampung+ACI-,17.9826556,126.984823
